frame_size,std_frame_size
0.2 in,unknown
0.2in,unknown
0 cm,unknown
0cm,unknown
0 in,unknown
0in,unknown
11022457ordinal,unknown
10.5 in,unknown
1.7in,unknown
10.5in,unknown
1000 cm,unknown
1000cm,unknown
100cm,unknown
10ordinal,unknown
10 cm,unknown
10cm,unknown
10 in,unknown
10in,unknown
1124in,unknown
11.5in,unknown
11 in,unknown
11in,unknown
12.5in,unknown
124in,unknown
12cm,unknown
12in,unknown
13.5in,unknown
1312in,unknown
1340cm,unknown
13in,unknown
13ordinal,unknown
14.5in,XXS
142cm,unknown
148cm,unknown
14cm,unknown
14in,XXS
15.5in,XXS
150cm,unknown
153cm,unknown
154cm,unknown
155cm,unknown
156cm,unknown
159cm,unknown
15in,XXS
15ordinal,XXS
16.1in,XS
16.2in,XS
16.52in,XS
16.5in,XS
16.6in,XS
16.75in,XS
160cm,unknown
161cm,unknown
163cm,unknown
16in,XS
16ordinal,XS
17.25in,XS
17.5cm,unknown
17.5in,XS
17.8in,XS
175cm,unknown
17cm,unknown
17in,XS
17ordinal,XS
18.5in,XS
18cm,unknown
18in,XS
19.5in,S
19.75in,S
19.8in,S
195cm,unknown
19cm,unknown
19in,S
19ordinal,S
1in,unknown
20.25in,S
20.5in,S
20.6in,S
20.75in,S
20.9in,S
200.1cm,unknown
2000cm,unknown
2009cm,unknown
200cm,unknown
2051cm,unknown
206in,unknown
20cm,unknown
20in,S
21.25in,S
21.5in,S
2153in,unknown
21cm,unknown
21in,M
21ordinal,M
22.3in,M
22.54in,M
22.5cm,unknown
22.5in,M
22cm,unknown
22in,M
23.5in,L
23in,L
24.4cm,unknown
24.5in,L
2411in,unknown
247in,unknown
24cm,unknown
24in,XL
25.5in,XL
25cm,unknown
25in,XL
26.5in,XL
2618in,unknown
26cm,unknown
26in,XL
27.2in,XL
27.5in,XL
27cm,unknown
27in,XL
28in,XL
29in,XL
2in,unknown
30cm,unknown
31.6cm,unknown
31cm,unknown
31in,XL
32cm,unknown
33cm,unknown
34.5cm,unknown
340cm,unknown
34cm,unknown
34in,unknown
35cm,unknown
36cm,unknown
37.5cm,unknown
37.75cm,unknown
37cm,unknown
38cm,unknown
39cm,unknown
39in,unknown
3cm,unknown
3in,unknown
4.1in,unknown
40cm,XXS
40in,unknown
41.5cm,XXS
41cm,XXS
4216cm,unknown
42cm,XXS
42in,unknown
43cm,XXS
43in,unknown
44.5cm,XXS
44cm,XXS
44in,unknown
45.5cm,XXS
45cm,XXS
45in,unknown
46.5cm,XXS
46cm,XXS
46in,unknown
47.5cm,XS
4718.5cm,unknown
47cm,XS
47in,unknown
48.5cm,XS
48cm,XS
48in,unknown
49.5cm,XS
49cm,XS
49in,unknown
4cm,unknown
4in,unknown
5.5in,unknown
50.6cm,S
50.8cm,S
500cm,unknown
5018.5cm,unknown
50cm,S
50in,unknown
51.2cm,S
51.5cm,S
51.8cm,S
51cm,S
51in,unknown
52.36cm,M
52.5cm,S
52cm,S
52in,unknown
53.5cm,M
53.8cm,M
530cm,unknown
53cm,M
53in,unknown
53ordinal,M
54.5cm,M
54cm,M
54in,unknown
55.1cm,L
55.5cm,L
555cm,unknown
557cm,unknown
55cm,L
55in,unknown
56.5cm,L
56.7cm,L
56cm,L
56in,unknown
57.15cm,L
57.5cm,L
57cm,L
57in,unknown
58.1cm,XL
58.2cm,XL
58.4cm,XL
58.5cm,XL
580cm,unknown
587cm,unknown
589cm,unknown
58cm,XL
58in,unknown
59.5cm,XL
590cm,unknown
5923cm,unknown
59cm,XL
59in,unknown
5cm,unknown
5in,unknown
6.5in,unknown
600cm,unknown
6026cm,unknown
60cm,XL
60in,unknown
61.5cm,XL
61cm,XL
61in,unknown
62cm,XL
62in,unknown
63.5cm,XL
63.8cm,XL
635cm,unknown
63cm,XL
64.5cm,XL
64cm,XL
64in,unknown
65046cm,unknown
650cm,unknown
65cm,XL
66cm,XL
67cm,XL
68cm,XL
69cm,XL
6cm,unknown
6in,unknown
6ordinal,unknown
7.3in,unknown
7.5in,unknown
70060cm,unknown
700cm,unknown
70cm,XL
71cm,XL
74in,unknown
750cm,unknown
75cm,XL
7in,unknown
8.5in,unknown
8in,unknown
90cm,unknown
9in,unknown
l,L
m,M
s,S
xl,XL
xs,XS